CODE,DISPOSITION_TEXT
A1,Buildings Violation(s) Served
A2,Criminal Court Summons Served
A3,Full Stop Work Order Served
A4,Buildings Violation(s) and Criminal Court Summons Served
A6,Vacant/Open/Unguarded Structure – Violation(s) Issued
A7,Complaint Accepted by Padlock Unit
A8,OATH Violation Served
A9,OATH and DOB Violations Served
AA,HRP: Request for Corrective Action Issued
AB,HRP: Request for Corrective Action Issued – Corrected
AC,HRP: Request for Corrective Action Issued – Not Corrected
B1,Buildings Violation(s) Prepared and Attempt to Serve will be Made
B2,OATH Summons Prepared and Attempt to Serve will be Made
C1,Inspector Unable to Gain Access – 1st Attempt Made
C2,Inspector Unable to Gain Access – 2nd Final Attempt
C3,Access Denied – 1st Attempt
C4,Access Denied – 2nd Attempt
C5,AW: No Access – 1st Attempt
C6,AW: Access Denied – 1st Attempt
C7,AW: No Access – 2nd Attempt
C8,AW: Access Denied – 2nd Attempt
D1,Complaint Assigned to Construction Enforcement
D2,Complaint Assigned to Plumbing Unit
D3,Complaint Assigned to Elevator Unit
D4,Complaint Assigned to Construction Safety Compliance Unit
D5,Complaint Assigned to Emergency Response Team
D6,Complaint Assigned to Boiler Unit
D7,Complaint Assigned to Cranes and Derricks Unit
D9,Complaint Assigned to Electrical Unit
EB,Complaint Assigned to Façade Inspection Safety Program
EC,Complaint Assigned to Structurally Compromised Buildings Unit
ED,Complaint Assigned Retaining Wall Unit
EF,Complaint Assigned to the Mayor's Office of Special Enforcement
EG,Complaint Assigned to the Quality of Life Unit
EH,Complaint Assigned to the Concrete Enforcement Unit
EJ,Complaint Assigned to Construction Safety Enforcement (CSE)
EK,Complaint Assigned to the Real-Time Enforcement Unit
EZ,Complaint Assigned to the Department of Investigation (DOI)
E1,Complaint Assigned to Building Marshal’s Office
E2,Complaint Assigned to Legal Affairs/Padlock Unit
E3,Complaint Assigned to Borough Office for Final Inspection
E4,Complaint Assigned to LL58/87 Unit (Handicap Access)
E5,Complaint Assigned to Center for Re-evaluation
E6,Complaint Assigned to Special Operations Unit
E9,Complaint Assigned to Stalled Sites Unit
F1,Complaint Referred to Department of Environmental Protection(DEP)
F2,Complaint Referred to NYS Division of Housing and Community Renewal (DHCR)
F3,Complaint Referred to NYC Department of Health and Mental Hygiene (DOHMH)
F5,Complaint Referred to Department of Sanitation (DOS)
F6,Complaint Referred to Department of Transportation (DOT)
F7,Complaint Referred to NYS Office of Real Properties Services
F8,Complaint Referred to Housing Preservation and Development (HPD)
F9,Complaint Referred to Housing and Urban Development (HUD) Federal
